scenario,seed,design_reserve_MOI,design_reserve_PASI,payment_MOI,payment_PASI,pps_MOI,pps_PASI,coverage_MOI,coverage_PASI,qualified_coverage_MOI,qualified_coverage_PASI,mean_quality_MOI,mean_quality_PASI,assigned_MOI,assigned_PASI,qualified_MOI,qualified_PASI,payment_saving_percent,pps_saving_percent,decision_fee_saving_percent,decision_fee_per_service_MOI,decision_fee_per_service_PASI,decision_fee_per_service_saving_percent,coverage_delta_pp,qualified_coverage_delta_pp,mean_quality_delta
burst,25,30579.95761400526,25272.49119213999,30596.78575311986,25272.49119213999,0.5584476035904992,0.4612694371523479,0.7963517441860465,0.7963517441860465,0.7963517441860465,0.7963517441860465,0.8899304099594354,0.8894849606987631,54789,54789,54789,54789,17.401483292855257,17.401483292855254,17.356029360336695,0.558140459106851,0.4612694371523479,17.356029360336688,0.0,0.0,-0.0004454492606722482
burst,26,32874.58226714997,27484.975148700323,32891.10939067583,27484.975148700323,0.600728912015558,0.5019903409683724,0.7958139534883721,0.7958139534883721,0.7958139534883721,0.7958139534883721,0.8901110251157013,0.889701937497041,54752,54752,54752,54752,16.436460618467528,16.436460618467528,16.394450504806045,0.6004270577723183,0.5019903409683724,16.39445050480605,0.0,0.0,-0.00040908761866031984
burst,27,31113.03477327892,26174.248851060627,31125.95545037477,26174.248851060627,0.5661941181353871,0.4761205088052648,0.7990406976744187,0.7990406976744187,0.7990406976744187,0.7990406976744187,0.8898909303578794,0.8895432217788575,54974,54974,54974,54974,15.9086091580669,15.908609158066898,15.873687533881823,0.5659590856273679,0.4761205088052648,15.873687533881826,0.0,0.0,-0.0003477085790218881
burst,28,31325.496218146294,26471.94129880298,31341.64801749573,26471.94129880298,0.572251602503163,0.4833380433968665,0.7960610465116279,0.7960610465116279,0.7960610465116279,0.7960610465116279,0.8892656937825935,0.8889114059320711,54769,54769,54769,54769,15.537494122754334,15.537494122754346,15.493944247662828,0.5719566948117785,0.4833380433968665,15.493944247662828,0.0,0.0,-0.00035428785052238343
burst,29,27676.529212762216,22752.902615272065,27688.505909176827,22752.902615272065,0.506382814410959,0.4161177529814383,0.7947529069767442,0.7947529069767442,0.7947529069767442,0.7947529069767442,0.8900726028065521,0.88970796071445,54679,54679,54679,54679,17.825459091560987,17.825459091560983,17.789899013853823,0.5061637779177054,0.4161177529814383,17.78989901385381,0.0,0.0,-0.0003646420921020743
burst,30,32509.906871206644,27236.12147188945,32523.917359436004,27236.12147188945,0.5955452530476086,0.4987204546965768,0.7937790697674418,0.7937790697674418,0.7937790697674418,0.7937790697674418,0.8893977887830964,0.889090897002926,54612,54612,54612,54612,16.258176495496567,16.258176495496567,16.222087070904763,0.5952887070828141,0.4987204546965768,16.222087070904767,0.0,0.0,-0.0003068917801704041
dynamic,1,31800.65202905177,26976.798287774407,31816.2313726648,26976.798287774407,0.6348771076478589,0.5383086220971067,0.8352333333333334,0.8352333333333334,0.8352333333333334,0.8352333333333334,0.8912247546637879,0.8908335674194837,50114,50114,50114,50114,15.210579242418492,15.210579242418495,15.169040360777784,0.6345662295775985,0.5383086220971067,15.169040360777785,0.0,0.0,-0.00039118724430420304
dynamic,2,32377.75875019769,28066.35983397628,32390.21646223799,28066.35983397628,0.6462662156515092,0.5599944099837642,0.8353166666666667,0.8353166666666667,0.8353166666666667,0.8353166666666667,0.8912985505043347,0.8910636424269636,50119,50119,50119,50119,13.349267465694965,13.349267465694977,13.315927607852366,0.6460176529898379,0.5599944099837643,13.315927607852359,0.0,0.0,-0.00023490807737114316
dynamic,3,29905.840391983933,24515.98967530052,29919.58053935969,24515.98967530052,0.5963283148179238,0.4886291366930523,0.8362166666666667,0.8362166666666667,0.8362166666666667,0.8362166666666667,0.8919209278910981,0.8916169869993679,50173,50173,50173,50173,18.06038308909665,18.06038308909668,18.02273618141869,0.5960544594101197,0.4886291366930524,18.0227361814187,0.0,0.0,-0.00030394089173024774
dynamic,4,31321.75494980405,26002.66357730784,31338.092698370638,26002.66357730784,0.6270753916632443,0.5203134282602869,0.8329166666666666,0.8329166666666666,0.8329166666666666,0.8329166666666666,0.8916862995355165,0.8913511765392549,49975,49975,49975,49975,17.02537921633055,17.025379216330553,16.982098803277577,0.6267484732326973,0.5203134282602869,16.982098803277584,0.0,0.0,-0.00033512299626159425
