scenario,seed,phase,design_reserve_MOI,design_reserve_PASI,execution_settlement_MOI,execution_settlement_PASI,assigned_MOI,assigned_PASI,tasks_MOI,tasks_PASI,coverage_MOI,coverage_PASI,mean_selected_H_MOI,mean_selected_H_PASI,mean_selected_lambda_MOI,mean_selected_lambda_PASI,design_reserve_saving_pct,execution_settlement_saving_pct,coverage_diff_pp
dynamic,15,Middle,6016.218625044123,5178.237968568983,6019.199583712554,5178.237968568983,10036.0,10036.0,12000.0,12000.0,0.8363333333333334,0.8363333333333334,0.9747104357324237,0.9738484230396022,0.9513718820704415,0.8427145101343556,13.928693564871807,13.971319665477488,0.0
dynamic,16,Early,4189.839058398854,3631.089901360399,4191.688156270507,3631.089901360399,7131.0,7131.0,8544.0,8544.0,0.8346207865168539,0.8346207865168539,0.8442192655481039,0.844038921206931,0.9278843128007085,0.830079399765406,13.335814317697947,13.374044871908886,0.0
dynamic,16,Late,7046.811576487886,5897.49792512268,7049.837994361784,5897.49792512268,12931.0,12931.0,15456.0,15456.0,0.8366330227743272,0.8366330227743272,0.9779228784050334,0.9777452099551005,0.9094366229469405,0.7841459670668893,16.309697497801146,16.345624823729366,0.0
dynamic,16,Middle,5619.949892926545,4726.888068654627,5622.649494227722,4726.888068654627,10012.0,10012.0,12000.0,12000.0,0.8343333333333334,0.8343333333333334,0.9772599657322457,0.9772821174542817,0.9181734894634094,0.7970879476672456,15.890921472377439,15.931304743301078,0.0
dynamic,17,Early,4682.332380211303,4112.7742545051315,4684.499099654025,4112.7742545051315,7110.0,7110.0,8544.0,8544.0,0.8321629213483146,0.8321629213483146,0.8282581406868228,0.827878557924518,0.9888768681507716,0.8953749234952231,12.163983234365528,12.204609991089931,0.0
dynamic,17,Late,7587.334862708774,6396.102122024684,7591.022179913018,6396.102122024684,12868.0,12868.0,15456.0,15456.0,0.8325569358178054,0.8325569358178054,0.9755128051522183,0.9755035454652959,0.9472103281015405,0.820417693924857,15.700278981212712,15.741227328386309,0.0
dynamic,17,Middle,6339.606370239568,5401.658880007466,6342.864378324207,5401.658880007466,10067.0,10067.0,12000.0,12000.0,0.8389166666666666,0.8389166666666666,0.97491792784337,0.9744944019510132,0.9778188171487174,0.8577950793180593,14.795043027200716,14.838808496886202,0.0
dynamic,18,Early,4737.60860210354,4217.284173706377,4739.726793143859,4217.284173706377,7132.0,7132.0,8544.0,8544.0,0.8347378277153558,0.8347378277153558,0.8301444092113938,0.829944081972871,0.9840543566696737,0.8962489177338264,10.982849620927615,11.022631519462456,0.0
dynamic,18,Late,8084.178541138712,6917.584509572534,8088.113490475556,6917.584509572534,12949.0,12949.0,15456.0,15456.0,0.8377976190476191,0.8377976190476191,0.9770808833284168,0.9774624450775256,0.9739365325454966,0.8530596536066763,14.430582224645605,14.472212615233692,0.0
dynamic,18,Middle,6265.092068665516,5399.292988642024,6268.268195339183,5399.292988642024,9999.0,9999.0,12000.0,12000.0,0.83325,0.83325,0.9753894388320835,0.975257362451303,0.9662714831270269,0.8522993553043455,13.819415110493495,13.863082746575706,0.0
dynamic,19,Early,4376.683702475289,3855.464503055975,4378.165783694381,3855.464503055975,7116.0,7116.0,8544.0,8544.0,0.8328651685393258,0.8328651685393258,0.8356687278890592,0.8355362167284373,0.948794144969115,0.8594394244122632,11.90899856721498,11.938818821916353,0.0
dynamic,19,Late,7283.097673386154,6110.0863925495105,7285.626073972082,6110.0863925495105,12783.0,12783.0,15456.0,15456.0,0.8270574534161491,0.8270574534161491,0.9761229628787149,0.9762090966831151,0.9324062193386269,0.8087852169086767,16.105939168206596,16.13505372753331,0.0
dynamic,19,Middle,5998.6458854568145,5090.353570542235,6000.938464069917,5090.353570542235,10129.0,10129.0,12000.0,12000.0,0.8440833333333333,0.8440833333333333,0.9758957701416148,0.9757243745616757,0.9458980973263074,0.8294903630264431,15.141622497114792,15.174041510002612,0.0
dynamic,20,Early,4316.443801594486,3786.132053564075,4318.341652172027,3786.132053564075,7108.0,7108.0,8544.0,8544.0,0.8319288389513109,0.8319288389513109,0.8305367403692174,0.8304434164782433,0.9644121227909275,0.8706578389982733,12.285848545844969,12.324397684936839,0.0
dynamic,20,Late,7224.438655854656,6054.499126635956,7227.487407767066,6054.499126635956,12950.0,12950.0,15456.0,15456.0,0.8378623188405797,0.8378623188405797,0.9763824376559468,0.9767166233531914,0.9366369728799759,0.8073958649636882,16.194192863283373,16.229544445425816,0.0
dynamic,20,Middle,5725.069134643974,4837.289909260386,5727.527183515165,4837.289909260386,10021.0,10021.0,12000.0,12000.0,0.8350833333333333,0.8350833333333333,0.9753533039454986,0.9753653024428789,0.94117081202485,0.8195807485826194,15.506873445621672,15.543134859613406,0.0
dynamic,21,Early,4729.501798833989,4157.19041685054,4731.402736417712,4157.19041685054,7072.0,7072.0,8544.0,8544.0,0.8277153558052435,0.8277153558052435,0.8346699125178744,0.8347037018005733,1.0050217100237202,0.9107860993148422,12.100880945315351,12.13619620979307,0.0
dynamic,21,Late,7883.185264117023,6606.011058910259,7886.935565230646,6606.011058910259,12943.0,12943.0,15456.0,15456.0,0.8374094202898551,0.8374094202898551,0.9768843438106465,0.9771837357279949,0.9708292073785797,0.8386323658896786,16.201245593202707,16.24109257297993,0.0
dynamic,21,Middle,6346.591159028476,5373.869546086507,6349.652208746872,5373.869546086507,9944.0,9944.0,12000.0,12000.0,0.8286666666666667,0.8286666666666667,0.9763990354902006,0.9762417953172875,0.9916861904697287,0.8665958333053908,15.326678346976907,15.36749778698413,0.0
dynamic,22,Early,4573.897862822221,4043.1441248303354,4575.917364926842,4043.1441248303354,7088.0,7088.0,8544.0,8544.0,0.8295880149812734,0.8295880149812734,0.8272396301641286,0.8267774337016842,1.0127180146748203,0.9173639971482486,11.603970047210366,11.642982108463507,0.0
dynamic,22,Late,7705.187477886247,6616.884480091654,7708.759438529768,6616.884480091654,12922.0,12922.0,15456.0,15456.0,0.8360507246376812,0.8360507246376812,0.9762795944336778,0.9758417220963398,0.98094073510148,0.8623497567525331,14.124289654443878,14.16408135634284,0.0
dynamic,22,Middle,6043.521398819924,5196.185155028526,6046.305039740525,5196.185155028526,9991.0,9991.0,12000.0,12000.0,0.8325833333333333,0.8325833333333333,0.9748611843993993,0.9743727843557322,0.9837718836193121,0.8672333303170068,14.020571581939812,14.060155402752905,0.0
dynamic,23,Early,4787.072799075392,4228.975183160026,4789.347255268763,4228.975183160026,7110.0,7110.0,8544.0,8544.0,0.8321629213483146,0.8321629213483146,0.834676231478883,0.8343197783972406,1.0081473057446355,0.9167764925553643,11.65843176696959,11.700385088850496,0.0
dynamic,23,Late,8065.3646182766615,6885.944315515973,8069.557660726328,6885.944315515973,13004.0,13004.0,15456.0,15456.0,0.8413561076604554,0.8413561076604554,0.9766154118599599,0.9763989937883335,0.9832148866324766,0.8613209181282359,14.623273200668974,14.667636008983177,0.0
dynamic,23,Middle,6232.706689576731,5337.151816430805,6236.078857320714,5337.151816430805,10002.0,10002.0,12000.0,12000.0,0.8335,0.8335,0.9753665708254025,0.9748550151992067,0.9764316594765055,0.8610120383475912,14.368634972725525,14.414940244615925,0.0
dynamic,24,Early,4433.569617737455,3850.396453571093,4435.723623154994,3850.396453571093,7029.0,7029.0,8544.0,8544.0,0.8226825842696629,0.8226825842696629,0.8373096671341427,0.8366137999994632,0.977391079869577,0.875485088910048,13.153580849012759,13.195753823083678,0.0
