scenario,method,seed,phase,slot_start,slot_end,mean_selected_H,median_selected_H,mean_selected_lambda,design_reserve,execution_settlement,assigned,tasks,coverage
stationary,PASI,26,Early,1,100,0.8274859590722206,0.9261150980686716,0.9269143544856263,4091.5194679362985,4091.5194679362985,6768,8000,0.846
stationary,PASI,26,Middle,301,500,0.9745336882786108,0.9813713580895642,0.9153242347412713,8007.687444317916,8007.687444317916,13513,16000,0.8445625
stationary,PASI,26,Late,701,1000,0.9754688628116368,0.982247515729804,0.9202393366469782,12039.606187603194,12039.606187603194,20242,24000,0.8434166666666667
stationary,MOI,28,Early,1,100,0.8403515408524127,0.9369207599925958,0.984641805403502,4404.35156426557,4406.211873619956,6756,8000,0.8445
stationary,MOI,28,Middle,301,500,0.9740648594504993,0.9817899895870127,1.0029254758682782,9182.248257957803,9186.882844411395,13545,16000,0.8465625
stationary,MOI,28,Late,701,1000,0.9759949221164489,0.9821811581999143,0.9980036680592894,13573.136734948148,13580.000403138829,20277,24000,0.844875
stationary,PASI,28,Early,1,100,0.8386225051487558,0.9319666112456366,0.8890623462029937,3864.187268374102,3864.187268374102,6756,8000,0.8445
stationary,PASI,28,Middle,301,500,0.9732320081486308,0.983701796200584,0.8950849938865252,7937.78980871396,7937.78980871396,13545,16000,0.8465625
stationary,PASI,28,Late,701,1000,0.9749665434312574,0.9838285948475702,0.8893677243353781,11706.140353608685,11706.140353608685,20277,24000,0.844875
stationary,PASI,27,Early,1,100,0.8267896693878275,0.9263214680027585,0.9005493056172031,3873.0927704480946,3873.0927704480946,6736,8000,0.842
stationary,PASI,27,Middle,301,500,0.9729763609407742,0.9830113269569825,0.8986934163902085,7812.575125298658,7812.575125298658,13499,16000,0.8436875
stationary,PASI,27,Late,701,1000,0.9739179739200464,0.9831908195859849,0.891205827184406,11577.505690301536,11577.505690301536,20286,24000,0.84525
stationary,MOI,29,Early,1,100,0.8349841114982677,0.933210522699886,0.9891717567857964,3977.4733112865547,3979.2183038966637,6717,8000,0.839625
stationary,MOI,29,Middle,301,500,0.9744777928221712,0.9817900703272499,0.9923185166996795,8094.407860432375,8098.1453180274,13559,16000,0.8474375
stationary,MOI,29,Late,701,1000,0.9757377962286656,0.9825892911127584,1.0042309612772435,12315.026920323377,12320.862770578178,20317,24000,0.8465416666666666
burst,MOI,1,Early,1,100,0.8004955319103447,0.9041357454380461,0.9789166288560219,3344.152692400803,3345.5981365427147,5560,6880,0.8081395348837209
burst,MOI,1,Middle,301,500,0.9724346271745223,0.9799193232838789,0.967800788654187,6499.319973600514,6502.671478816201,10976,13760,0.7976744186046512
burst,MOI,1,Late,701,1000,0.9731490368103539,0.9792267929173764,0.9517844151150845,9382.701340023094,9387.691922140792,16302,20640,0.7898255813953489
stationary,MOI,30,Early,1,100,0.8343844490028208,0.9347869955207779,1.037179980367678,4803.487406936236,4805.164586158254,6855,8000,0.856875
stationary,MOI,30,Middle,301,500,0.9761240084469096,0.979958184140572,1.0317062264702874,9390.580878131223,9394.600093121586,13541,16000,0.8463125
stationary,MOI,30,Late,701,1000,0.9765485951459454,0.9799177783627384,1.0329135270254175,14175.757029695507,14181.448460408814,20308,24000,0.8461666666666666
stationary,PASI,29,Early,1,100,0.8346028311982512,0.9330635031065392,0.8745273524715662,3407.2010182943372,3407.2010182943372,6717,8000,0.839625
stationary,PASI,29,Middle,301,500,0.9742558368281959,0.9830752745071545,0.8573131946957643,6747.635950066253,6747.635950066253,13559,16000,0.8474375
stationary,PASI,29,Late,701,1000,0.9757177776783817,0.983538086572938,0.8694489094808372,10266.17260104064,10266.17260104064,20317,24000,0.8465416666666666
stationary,PASI,30,Early,1,100,0.8343193440497432,0.9316788512309434,0.9398962354562603,4212.033845546482,4212.033845546482,6855,8000,0.856875
stationary,PASI,30,Middle,301,500,0.9755832758313304,0.9832674285885986,0.9180966649824216,8040.096931218212,8040.096931218212,13541,16000,0.8463125
stationary,PASI,30,Late,701,1000,0.9759931405350747,0.9833379295449982,0.9201466004344866,12166.000597639279,12166.000597639279,20308,24000,0.8461666666666666
burst,PASI,1,Early,1,100,0.8018718391868556,0.905899736225155,0.8694556299342623,2888.039674015143,2888.039674015143,5560,6880,0.8081395348837209
burst,PASI,1,Middle,301,500,0.9723135695597451,0.9813179817027333,0.836647403390247,5433.408933273289,5433.408933273289,10976,13760,0.7976744186046512
burst,PASI,1,Late,701,1000,0.9729397591037507,0.9814240114581406,0.8189695437699419,7812.455818663733,7812.455818663733,16302,20640,0.7898255813953489
